image_name,correctness,exercise,difficulty,LElbow_angle,RElbow_angle,LHip_angle,RHip_angle,LKnee_angle,RKnee_angle,elbow_position,elbow_correctness,hip_position,hip_correctness,knee_position,knee_correctness
pushup_1.jpg,correct,pushup,standard,172.82855897025968,172.06950303035993,142.03352912377318,104.2921604882738,162.49476770377075,112.82088011325304,up,correct,straight,correct,straight,correct
pushup_10.jpg,correct,pushup,standard,177.4689976397191,163.50702493436935,169.08128778679537,168.69064284170224,172.31466981816402,172.72761008523915,up,correct,straight,correct,straight,correct
pushup_100.jpg,incorrect,pushup,standard,141.45679390025822,172.12911923350018,109.06776531940764,99.0210341526584,56.79561934466973,96.841742240188,up,correct,bent,incorrect,bent,incorrect
pushup_1000.jpg,incorrect,pushup,standard,135.55757605593809,163.88233899153735,141.5034939547494,99.85702439490284,0.3389257856301634,97.15498014942364,up,correct,straight,correct,bent,incorrect
pushup_1001.jpg,incorrect,pushup,standard,87.25593469941595,172.55379038379334,9.76934972467086,1.952686160356993,178.00237404128498,177.0079656325089,up,correct,straight,correct,bent,incorrect
pushup_1002.jpg,incorrect,pushup,standard,68.56474699804944,147.7132919051892,59.7208699820701,37.21352438935082,13.520683987222572,106.80644792988932,up,correct,bent,incorrect,bent,incorrect
pushup_1003.jpg,correct,pushup,standard,155.43819767304996,21.25981459813921,174.8416648142002,74.24821863403677,171.1706872881203,120.27423239388251,up,correct,straight,correct,straight,correct
pushup_1004.jpg,incorrect,pushup,standard,76.82195477269333,102.1473177578288,4.143968515317795,12.782168819870323,12.19329518413035,34.89362318495284,up,correct,bent,incorrect,bent,incorrect
pushup_1005.jpg,incorrect,pushup,standard,151.80802547935386,150.6176186543514,18.12906627007527,16.96757979585196,123.9390763484983,96.66827794718655,up,correct,bent,incorrect,bent,incorrect
pushup_1006.jpg,incorrect,pushup,standard,68.14912196469707,127.70597522561866,83.37411874359111,50.99390986473946,91.0873238501313,27.98038052953659,up,correct,bent,incorrect,bent,incorrect
pushup_1008.jpg,incorrect,pushup,standard,85.72708671038289,101.2722378482045,36.80549029710637,41.37768179257159,2.9921560606142408,79.01052257067795,up,correct,bent,incorrect,bent,incorrect
pushup_101.jpg,correct,pushup,standard,178.39349727031777,176.58336276599888,154.17253308573376,164.42837334288097,178.2519898566812,173.1362604867378,up,correct,straight,correct,straight,correct
pushup_1010.jpg,incorrect,pushup,standard,179.40788612859498,32.28268478039293,106.29731390581486,93.5829365811589,168.67748214247433,127.58588948598612,up,correct,bent,incorrect,straight,correct
pushup_1011.jpg,correct,pushup,standard,154.35267094831917,160.3420029880718,175.1129451246726,173.53591124446993,166.89783374974283,175.22760783108956,up,correct,straight,correct,straight,correct
pushup_1012.jpg,correct,pushup,standard,174.4339343077681,166.4455200449006,161.11779825752046,155.74474482167005,150.72244751949825,157.78471166655868,up,correct,straight,correct,straight,correct
pushup_1013.jpg,correct,pushup,standard,176.21446115989323,179.43714355851438,59.82416168078712,101.04282178031367,94.13366106129752,132.5196753705289,up,correct,straight,correct,straight,correct
pushup_1014.jpg,correct,pushup,standard,140.0616964882654,152.76320072810876,178.25107063673798,179.593053577111,175.78329935444097,176.74566981193755,up,correct,straight,correct,straight,correct
pushup_1015.jpg,correct,pushup,standard,46.92209789069193,28.943565529749502,177.19693424903315,161.8848481102137,175.9804972016063,175.24018310251202,up,correct,straight,correct,straight,correct
pushup_1016.jpg,correct,pushup,standard,136.31876087222096,34.96237075425823,178.1481719043489,165.44205345201365,178.74185192278213,176.53297360229516,up,correct,straight,correct,straight,correct
pushup_1017.jpg,correct,pushup,standard,153.1967255866479,151.44342083092076,178.90009166503106,173.4306021480989,165.99695969600387,148.45952068575886,up,correct,straight,correct,straight,correct
pushup_1019.jpg,correct,pushup,standard,171.7055449799309,169.863487545169,153.7593521797542,157.27422809390066,176.3991227177484,172.28907638140254,up,correct,straight,correct,straight,correct
pushup_102.jpg,incorrect,pushup,standard,164.90250564961735,179.426948183563,148.20748621344453,81.20566053471771,86.03009290733087,174.653087226741,up,correct,straight,correct,bent,incorrect
pushup_1020.jpg,incorrect,pushup,standard,14.189139835499452,26.523367882696142,163.41097312106913,151.7085911856206,122.03326096770743,131.27704010619138,down,incorrect,straight,correct,bent,incorrect
pushup_1022.jpg,correct,pushup,standard,176.11285258339245,174.20787757085097,167.8009885766752,160.62509468545977,169.99158535383717,159.35438689723424,up,correct,straight,correct,straight,correct
pushup_1023.jpg,correct,pushup,standard,154.68860348811205,126.16254082077953,176.5751439570602,173.98183315363775,176.71049789461327,171.75972061511948,up,correct,straight,correct,straight,correct
pushup_1024.jpg,incorrect,pushup,standard,136.38079747639435,174.9818526758627,85.30410194961765,44.397264013719976,38.30159710684086,61.07426885825068,up,correct,bent,incorrect,bent,incorrect
pushup_1025.jpg,correct,pushup,standard,174.32398448527024,57.14355155168183,148.42629037627913,137.83700451542416,161.11566165109548,155.49235370037638,up,correct,straight,correct,straight,correct
